Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790406989,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790406990,10,,Aggregated,0.000000,0.000000,29,29,29,29,620,620,620,620,620,620,620,6,5,26,126.02894033337482,23.712087000603788,624.3113829996219,90.5
1790406991,20,,Aggregated,0.000000,0.000000,25,28,29,30,620,1400,1400,1400,1400,1400,1400,20,18,25,122.01680075004333,4.310284000894171,1433.993821000513,80.2
1790406992,30,,Aggregated,5.000000,5.000000,28,62,62,65,71,1400,2900,2900,2900,2900,2900,41,37,28,208.13031231709164,2.8902750000270316,2901.2089420002667,79.90243902439025
1790406993,40,,Aggregated,9.000000,8.000000,18,25,30,62,69,1400,2900,3600,3600,3600,3600,69,64,18,179.4936063478272,2.749000000221713,3591.6835959997115,75.84057971014492
1790406994,50,,Aggregated,11.000000,10.333333,13,24,29,34,67,1400,3200,3200,3600,3600,3600,107,100,13,179.89147250464836,2.241820000563166,3591.6835959997115,74.6822429906542
1790406995,50,,Aggregated,15.500000,14.500000,6,20,28,31,65,2400,3200,3200,3600,3600,3600,135,126,6,186.62583432593507,2.241820000563166,3591.6835959997115,74.85925925925926
1790406996,50,,Aggregated,17.600000,16.400000,5,15,24,29,62,2400,2900,3200,3600,3600,3600,164,152,5,185.30451483539076,2.241820000563166,3591.6835959997115,75.92682926829268
1790406997,50,,Aggregated,19.166667,17.833333,4,12,22,28,65,2300,2900,3200,3600,3600,3600,190,175,4,195.67952591054754,2.2157179992063902,3591.6835959997115,76.86315789473684
1790406998,50,,Aggregated,21.285714,19.857143,4,7,18,25,62,2100,2900,3200,3600,3600,3600,223,205,4,186.1996146950789,2.1758020002380363,3591.6835959997115,77.17040358744394
1790406999,50,,Aggregated,22.250000,20.625000,4,7,15,22,62,2100,2900,3200,3600,3600,3600,253,229,4,173.47454618182655,2.1758020002380363,3591.6835959997115,79.43873517786561
1790407000,50,,Aggregated,22.666667,21.000000,4,6,13,21,62,2200,2900,3200,3600,3600,3600,278,251,4,176.15564675540992,2.1758020002380363,3591.6835959997115,79.82014388489209
1790407001,50,,Aggregated,23.300000,21.400000,4,5,10,18,61,2200,2600,2900,3600,3600,3600,313,281,4,173.69203767411992,2.1356509996621753,3591.6835959997115,80.65175718849841
1790407002,50,,Aggregated,25.900000,23.400000,4,5,9,16,61,2200,2700,2900,3600,3600,3600,343,304,4,179.3236259125415,2.1356509996621753,3591.6835959997115,82.48979591836735
1790407003,50,,Aggregated,27.900000,25.100000,4,5,8,14,37,2200,2600,2900,3600,3600,3600,372,327,4,177.07603561291182,1.8005289994107443,3591.6835959997115,83.65053763440861
1790407004,50,,Aggregated,29.100000,25.900000,4,5,7,13,37,2200,2600,2900,3600,3600,3600,399,348,4,175.77777816542832,1.8005289994107443,3591.6835959997115,84.72681704260651
1790407005,50,,Aggregated,29.300000,25.500000,4,5,7,12,37,2200,2600,2900,3600,3600,3600,430,373,4,173.86933440931546,1.8005289994107443,3591.6835959997115,85.45813953488373
